mechanism,severity,beam_cm,target_class,distance_crack_cm,distance_wear_cm,crack_mask,wear_mask,FC_Hz,FRMS_Hz,FRVF_Hz,m0,m1,m2,a1,a2,a3,a4,a5,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,file_path,folder_all,all_index,segment_id,t0,t1
crack,slight,10.0,1,1.5,0.0,1,0,23.150811855184827,39.65794477918807,32.199262329360344,0.004496000501044508,0.10408606170049811,7.0710964061736945,0.02495127038428378,0.02003740089363048,0.013656680771683962,0.013538293056933822,0.009360416731399125,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0011\F0011CH1.CSV,ALL0011,11,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,17.682493486901073,35.10987278228974,30.33203901610097,0.005078525937099231,0.08980100180581532,6.260315005280113,0.024280177751192684,0.017532331256338466,0.01317220949517565,0.011588862987111427,0.0081475275724408,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0011\F0011CH1.CSV,ALL0011,11,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,15.451330815563153,32.98670404164859,29.14410780173832,0.005794597571388807,0.08953424401858728,6.305232827579731,0.023823981995926176,0.01805413920164881,0.013094302908899092,0.011375393612040095,0.007255278026410591,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0012\F0012CH1.CSV,ALL0012,12,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,25.751551921060393,42.476089884747154,33.77981328477188,0.003726441138030095,0.09596164244675738,6.7233129667965255,0.024331558597913673,0.01860585862810782,0.013559883239905555,0.012201591863431718,0.008914849015032594,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0012\F0012CH1.CSV,ALL0012,12,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,25.464013067547327,42.196880969797746,33.64759727045987,0.003141624867826202,0.07999837668765805,5.59390423953416,0.023968647460014498,0.016267589660238405,0.014183720118556642,0.009141760334698955,0.006216878884729062,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0013\F0013CH1.CSV,ALL0013,13,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,11.825529113191507,28.576689993394673,26.01507394130648,0.006184969852806556,0.07314054105857572,5.050814680884036,0.023138851208654887,0.015191012071553994,0.013811413330008071,0.007466647809358639,0.004986600871382593,55.20000000000608,54.80000000000604,55.60000000000612,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0013\F0013CH1.CSV,ALL0013,13,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,27.429009346901342,43.96774576508109,34.3629468164534,0.0030930727054618145,0.08483992014875753,5.979412682565574,0.025012573818848447,0.016064348928941864,0.014727420792995775,0.009763203230312238,0.006470223333705532,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0014\F0014CH1.CSV,ALL0014,14,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,14.273987246171814,31.12433740371246,27.658229641758684,0.006696588764165362,0.09558702261255385,6.487148790779982,0.02625047657580892,0.01766803603588799,0.01492547736061923,0.010234622600003176,0.007475623683126731,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0014\F0014CH1.CSV,ALL0014,14,2,2.5,4.998
crack,slight,10.0,1,1.5,0.0,1,0,21.15314747105547,38.24926423066548,31.86770412588653,0.004663260815979484,0.09864264373640849,6.822379552153965,0.025429811445553688,0.01879686934724942,0.014241060191271004,0.011818407149086456,0.008765131411061113,55.199999999999946,55.59999999999995,54.79999999999995,55.99999999999995,56.39999999999995,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0015\F0015CH1.CSV,ALL0015,15,1,0.0,2.498
crack,slight,10.0,1,1.5,0.0,1,0,17.684272545359686,35.25567581967898,30.499658720119065,0.004629034625441766,0.08186110993821917,5.75371727228994,0.024583757726121872,0.01601615572343932,0.014425201184396717,0.008951287749344092,0.0062673250387490186,55.20000000000608,55.60000000000612,54.80000000000604,56.00000000000617,56.40000000000621,C:\Users\axelr\OneDrive\Escritorio\Proyecto3\beam_vibration_dataset\crack\1-slight\slightdamage_1.5cm_beam10cm\ALL0015\F0015CH1.CSV,ALL0015,15,2,2.5,4.998
