experiment,seed,epochs_trained,test_accuracy,test_macro_f1,test_mae_crack,test_mae_wear,description,apply_yeo_johnson,apply_winsorization,baseline_test_accuracy,baseline_test_macro_f1,baseline_test_mae_crack,baseline_test_mae_wear,delta_test_accuracy,delta_test_macro_f1,delta_test_mae_crack,delta_test_mae_wear
P2_no_yeo_johnson,16,238,0.9680555555555556,0.967863871873892,0.11877401918172836,0.16545774042606354,Winsorization without Yeo-Johnson,False,True,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,0.012499999999999956,0.012747105202055908,0.004233598709106445,0.005135446786880493
P2_no_yeo_johnson,42,295,0.9736111111111111,0.9734034796683888,0.11601129919290543,0.16461464762687683,Winsorization without Yeo-Johnson,False,True,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,0.011111111111111072,0.011357555532525931,-0.003967858850955963,-0.02701282501220703
P2_no_yeo_johnson,123,359,0.9680555555555556,0.9678159685842774,0.12057297676801682,0.1598101109266281,Winsorization without Yeo-Johnson,False,True,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,0.004166666666666652,0.004114968808035302,0.0005382522940635681,-0.02402430772781372
P2_no_yeo_johnson,145,275,0.9666666666666667,0.9663966070901019,0.11824490875005722,0.163619264960289,Winsorization without Yeo-Johnson,False,True,0.9638888888888889,0.9635732408425007,0.11049939692020416,0.15906184911727905,0.002777777777777768,0.0028233662476011556,0.007745511829853058,0.004557415843009949
P2_no_yeo_johnson,152,253,0.9611111111111111,0.9608523789562088,0.11725771427154541,0.1445527970790863,Winsorization without Yeo-Johnson,False,True,0.9708333333333333,0.9706188736730531,0.1201060488820076,0.15120847523212433,-0.009722222222222188,-0.00976649471684432,-0.0028483346104621887,-0.006655678153038025
P2_no_yeo_johnson,521,360,0.9666666666666667,0.9664497978223681,0.12397629767656326,0.1479126363992691,Winsorization without Yeo-Johnson,False,True,0.9652777777777778,0.964955426102831,0.12302814424037933,0.15936151146888733,0.001388888888888884,0.0014943717195370354,0.0009481534361839294,-0.011448875069618225
P2_no_yeo_johnson,1102,325,0.9708333333333333,0.9707088205200375,0.10881313681602478,0.1564946174621582,Winsorization without Yeo-Johnson,False,True,0.9763888888888889,0.9761894290688109,0.12088820338249207,0.17191553115844727,-0.005555555555555536,-0.0054806085487734135,-0.012075066566467285,-0.015420913696289062
P2_no_yeo_johnson,2111,300,0.9652777777777778,0.9648749304471554,0.1184467226266861,0.16788268089294434,Winsorization without Yeo-Johnson,False,True,0.9611111111111111,0.9605933482158795,0.1252908855676651,0.16286101937294006,0.004166666666666652,0.004281582231275949,-0.006844162940979004,0.0050216615200042725
P2_no_yeo_johnson,27182,248,0.9694444444444444,0.9692595960059576,0.12524496018886566,0.18823082745075226,Winsorization without Yeo-Johnson,False,True,0.9638888888888889,0.9637636839287259,0.1217314675450325,0.15993960201740265,0.005555555555555536,0.005495912077231657,0.0035134926438331604,0.02829122543334961
P2_no_yeo_johnson,31415,221,0.9569444444444445,0.956730440919169,0.14002437889575958,0.18716242909431458,Winsorization without Yeo-Johnson,False,True,0.9666666666666667,0.9664251789515652,0.12922848761081696,0.17943541705608368,-0.009722222222222188,-0.009694738032396177,0.010795891284942627,0.007727012038230896
P3_no_winsorization_no_yeo_johnson,16,369,0.9666666666666667,0.9663476079943863,0.11925473809242249,0.16188451647758484,Neither Yeo-Johnson nor winsorization,False,False,0.9555555555555556,0.9551167666718361,0.11454042047262192,0.16032229363918304,0.011111111111111072,0.011230841322550256,0.004714317619800568,0.0015622228384017944
P3_no_winsorization_no_yeo_johnson,42,400,0.9652777777777778,0.9649004065188818,0.11197873950004578,0.16826024651527405,Neither Yeo-Johnson nor winsorization,False,False,0.9625,0.9620459241358629,0.11997915804386139,0.19162747263908386,0.002777777777777768,0.002854482383018886,-0.008000418543815613,-0.023367226123809814
P3_no_winsorization_no_yeo_johnson,123,400,0.9722222222222222,0.9720579292631687,0.10772933810949326,0.1646420806646347,Neither Yeo-Johnson nor winsorization,False,False,0.9638888888888889,0.9637009997762421,0.12003472447395325,0.18383441865444183,0.008333333333333304,0.008356929486926568,-0.012305386364459991,-0.01919233798980713
